Year,LanguageTag,TargetTag,Quantity,ChuyenNganh
2022,swift,swiftui,4728,Mobile App
2022,swift,xcode,2652,Mobile App
2022,swift,firebase,599,Database
2022,swift,swift5,205,Mobile App
2022,swift,swift-package-manager,205,Mobile App
2022,swift,async-await,195,Data Science & AI
2022,swift,flutter,159,Mobile App
2022,swift,ios16,146,Mobile App
2022,swift,react-native,108,Mobile App
2022,swift,swiftui-list,108,Mobile App
2022,swift,firebase-realtime-database,103,Database
2022,swift,swiftui-navigationlink,103,Mobile App
2022,swift,swift-concurrency,95,Mobile App
2022,swift,rx-swift,90,Mobile App
2022,swift,swiftui-navigationview,83,Mobile App
2022,swift,firebase-authentication,75,Web Backend
2022,swift,xcode13,69,Mobile App
2022,swift,ios15,68,Mobile App
2022,swift,xcode14,67,Mobile App
2022,swift,swift-protocols,61,Mobile App
2022,swift,mobile,52,Mobile App
2022,typescript,reactjs,7806,Web Frontend
2022,typescript,angular,6326,Web Frontend
2022,typescript,node.js,2677,Web Backend
